#\Oman.txt;;;;;;;;;;;X;
EVT_77099_NAME;Status of Oman;;;;;;;;;;X;
EVT_77099_DESC;For many years, the Ottomans have been free to impose their will on us. Today, problems have arisen for the Ottomans, and Said ibn Timur wishes to claim the throne once and for all and establish a free Oman.;;;;;;;;;;X;
EVT_77099_OPTIONA;Declare complete independence from Ottomans!;;;;;;;;;;X;
EVT_77099_OPTIONB;Time is not right!;;;;;;;;;;X;
EVT_77100_NAME;Oman declares independence !;;;;;;;;;;X;
EVT_77100_DESC;For many years, we have ruled over Oman. But today, with our country engaged in a lenghty conflict, Oman decided to use this opportunity to break from our dominance. How should we react to this mess?;;;;;;;;;;X;
EVT_77100_OPTIONA;Let them go;;;;;;;;;;X;
EVT_77100_OPTIONB;Blasphemy! Crush this upstart!;;;;;;;;;;X;
EVT_7400_NAME;Hadhramaut in conflict!;;;;;;;;;;X;
EVT_7400_DESC;The Sultanates of Qu'aiti and Kathiri have begun a power struggle over Hadhramaut. This is not the first time they have fought, as shortly after the British Revolution they jointly destroyed the Mahra Sultanate. With Hadhramaut once more in flames, we must end this bloodshed!;;;;;;;;;;X;
EVT_7400_OPTIONA;Send out our diplomats;;;;;;;;;;X;
EVT_7400_OPTIONB;Send out the troops!;;;;;;;;;;X;
EVT_7401_NAME;Negotiations with the Hadhramaut Sultans;;;;;;;;;;X;
EVT_7401_DESC;After the Sultans of Qu'aiti and Kathiri arrived in Muscat, an agreement has been worked out. The Sultan of Muscat and Oman and his son, will remain in control of governance and military affiars. The Sultan of Qu'aiti will take care of military intellgence and state security. Finally, the Sultan of Kathiri will handle all foriegn and economic matters.;;;;;;;;;;X;
EVT_7401_OPTIONA;Hurrah for diplomacy!;;;;;;;;;;X;
EVT_7402_NAME;Rising conflict in Hadhramaut;;;;;;;;;;X;
EVT_7402_DESC;Our neighbor to the south, the Sultanate of Muscat and Oman, has been in conflict with the two Sultanates of Hadhramaut. As the two Sultans are also feuding over dominance in the region, we have a chance to expand our influence. Several of our ministers are calling for us to make the Sultans stop fighting in the name of Arab unity, and a few are calling for us to annex the Hadhramaut area. What shall we do?;;;;;;;;;;X;
EVT_7402_OPTIONA;Demand the Sultans stop this conflict!;;;;;;;;;;X;
EVT_7402_OPTIONB;Demand Hadhramaut becomes ours!;;;;;;;;;;X;
EVT_7402_OPTIONC;We have other things to do;;;;;;;;;;X;
EVT_7403_NAME;The Hashemite ultimatium;;;;;;;;;;X;
EVT_7403_DESC;The Hashmites have sent us an ultimatim in which they demand that in the name of Arab unity we cease all conflict with the Sultans of Hadhramaut, and also end the conflict between the two Sultans. Bowing down to them would ruin our already weak standing in the world... What shall we do?;;;;;;;;;;X;
EVT_7403_OPTIONA;Begin negotiations with the Sultans;;;;;;;;;;X;
EVT_7403_OPTIONB;No, we refuse this threat!;;;;;;;;;;X;
EVT_7404_NAME;Oman has rejected our ultimatium;;;;;;;;;;X;
EVT_7404_DESC;The Sultan of Oman and Muscat has sent us a curt reply telling us not to interfere with Omani bussiness. What shall we do now?;;;;;;;;;;X;
EVT_7404_OPTIONA;Then it is war!;;;;;;;;;;X;
EVT_7404_OPTIONB;There's nothing we can do;;;;;;;;;;X;
EVT_7405_NAME;The Hashemites have demanded Hadhramaut!;;;;;;;;;;X;
EVT_7405_DESC;The Hashemites have sent an ultimatium to us, demanding that we cede the suzerainty rights over Hadhramaut to them!;;;;;;;;;;X;
EVT_7405_OPTIONA;This means war!;;;;;;;;;;X;
EVT_7405_OPTIONB;There's nothing we can do;;;;;;;;;;X;
EVT_7406_NAME;Hadhramaut is ours!;;;;;;;;;;X;
EVT_7406_DESC;The Omanis have folded to our righteous demand and ceded control of Hadhramaut to us. With the arrival of our troops in the area the two fueding Sultans have promised to end their feud, at least for the time being.;;;;;;;;;;X;
EVT_7406_OPTIONA;Party at Al Mukalla anyone?;;;;;;;;;;X;
EVT_7407_NAME;Peace in Hadhramaut;;;;;;;;;;X;
EVT_7407_DESC;Our troops have finally managed to end the fighting in Hadhramaut and once more ensured peace in the area.;;;;;;;;;;X;
EVT_7407_OPTIONA;Finally!;;;;;;;;;;X;
