#\Africa\Egypt - Kopi.txt;;;;;;;;;;;X;
EVT_91301_NAME;Congress of the Arab World;;;;;;;;;;X;
EVT_91301_OPTIONA;Continue preparations for the Congress as planned;;;;;;;;;;X;
EVT_91301_OPTIONB;These plans are too modest, this must be the event of the century!;;;;;;;;;;X;
EVT_91301_OPTIONC;Abort the plans, this Congress is a waste of resources;;;;;;;;;;X;
EVT_91302_NAME;The Arab Congress;;;;;;;;;;X;
EVT_91302_DESC;After many months of planning, the Arab Congress begins. As guests come flocking in from all Arab lands, it has become clear that the Arab identity is not forgotten, but on the contrary is cherished by many. The streets, marketplaces, and mosques of Cairo are teeming with Arabs from many lands. In the coming days they will take the stage and deliver addresses and lectures about a variety of subjects ranging from history to religion.;;;;;;;;;;X;
EVT_91302_OPTIONA;Truly a great day for all Arabs!;;;;;;;;;;X;
EVT_91303_NAME;The Arab Congress;;;;;;;;;;X;
EVT_91303_DESC;Organised by the Egyptian government, the Arab Congress is a grand event in Cairo where delegates from all Arab nations convene to pay homage to our illustrious Arab heritage. Should we too send a delegation?;;;;;;;;;;X;
EVT_91303_OPTIONA;To Cairo!;;;;;;;;;;X;
EVT_91303_OPTIONB;Pfff... Arabs Shmarabs, we're fine on our own!;;;;;;;;;;X;
EVT_91304_NAME;The Arab Congress;;;;;;;;;;X;
EVT_91304_DESC;Organised by the Egyptian government, the Arab Congress is a grand event in Cairo where delegates from all Arab nations convene to pay homage to our illustrious Arab heritage. We too were invited to send a delegation, this is the perfect opportunity to see if Egypt would be willing to join us in a collaborative effort to free the Arabs of the Ottoman Empire from Turkish occupation.;;;;;;;;;;X;
EVT_91304_OPTIONA;Send a cultural delegation only, we aren't warmongers;;;;;;;;;;X;
EVT_91304_OPTIONB;Alongside Egypt we might just bring the Ottomans to their knees!;;;;;;;;;;X;
EVT_91304_OPTIONC;I'm all the Arab this nation needs, nobody is going to Cairo!;;;;;;;;;;X;
EVT_91305_NAME;The Arab Congress;;;;;;;;;;X;
EVT_91305_DESC;Organised by the Egyptian government, the Arab Congress is a grand event in Cairo where delegates from all Arab nations convene to pay homage to our illustrious Arab heritage. Should we too send a delegation?;;;;;;;;;;X;
EVT_91305_OPTIONA;Woman, pack your bags! We're going to Cairo! ...Cairo ...it's in Egypt baby...;;;;;;;;;;X;
EVT_91305_OPTIONB;A cultural event...? BORING!;;;;;;;;;;X;
EVT_91307_NAME;The Arab Congress;;;;;;;;;;X;
EVT_91307_DESC;Organised by the Egyptian government, the Arab Congress is a grand event in Cairo where delegates from all Arab nations convene to pay homage to our illustrious Arab heritage. Should we too send a delegation?;;;;;;;;;;X;
EVT_91307_OPTIONA;Let's see what the Arabs outside of Yemen are like...;;;;;;;;;;X;
EVT_91307_OPTIONB;Maybe the good people in Cairo can help us get Aden back from the Germans!;;;;;;;;;;X;
EVT_91307_OPTIONC;I can't go to Cairo, I'm busy... There's a rat in my kitchen, what am I gonna do?;;;;;;;;;;X;
EVT_91308_NAME;The Arab Congress;;;;;;;;;;X;
